Age,Workclass(Federal-gov),Workclass(Local-gov),Workclass(Private),Workclass(Self-emp-inc),Workclass(Self-emp-not-inc),Workclass(State-gov),Workclass(Without-pay),Fnlwgt,Education,MSRS(Divorced_Not-in-family),MSRS(Divorced_Other-relative),MSRS(Divorced_Own-child),MSRS(Divorced_Unmarried),MSRS(Married-AF-spouse_Husband),MSRS(Married-AF-spouse_Other-relative),MSRS(Married-AF-spouse_Own-child),MSRS(Married-AF-spouse_Wife),MSRS(Married-civ-spouse_Husband),MSRS(Married-civ-spouse_Not-in-family),MSRS(Married-civ-spouse_Other-relative),MSRS(Married-civ-spouse_Own-child),MSRS(Married-civ-spouse_Wife),MSRS(Married-spouse-absent_Not-in-family),MSRS(Married-spouse-absent_Other-relative),MSRS(Married-spouse-absent_Own-child),MSRS(Married-spouse-absent_Unmarried),MSRS(Never-married_Not-in-family),MSRS(Never-married_Other-relative),MSRS(Never-married_Own-child),MSRS(Never-married_Unmarried),MSRS(Separated_Not-in-family),MSRS(Separated_Other-relative),MSRS(Separated_Own-child),MSRS(Separated_Unmarried),MSRS(Widowed_Not-in-family),MSRS(Widowed_Other-relative),MSRS(Widowed_Own-child),MSRS(Widowed_Unmarried),Occupation(Adm-clerical),Occupation(Armed-Forces),Occupation(Craft-repair),Occupation(Exec-managerial),Occupation(Farming-fishing),Occupation(Handlers-cleaners),Occupation(Machine-op-inspct),Occupation(Other-service),Occupation(Priv-house-serv),Occupation(Prof-specialty),Occupation(Protective-serv),Occupation(Sales),Occupation(Tech-support),Occupation(Transport-moving),Race(Amer-Indian-Eskimo),Race(Asian-Pac-Islander),Race(Black),Race(Other),Race(White),Sex,Country(Cambodia),Country(Canada),Country(China),Country(Columbia),Country(Cuba),Country(Dominican-Republic),Country(Ecuador),Country(El-Salvador),Country(England),Country(France),Country(Germany),Country(Greece),Country(Guatemala),Country(Haiti),Country(Holand-Netherlands),Country(Honduras),Country(Hong),Country(Hungary),Country(India),Country(Iran),Country(Ireland),Country(Italy),Country(Jamaica),Country(Japan),Country(Laos),Country(Mexico),Country(Nicaragua),Country(Outlying-US(Guam-USVI-etc)),Country(Peru),Country(Philippines),Country(Poland),Country(Portugal),Country(Puerto-Rico),Country(Scotland),Country(South),Country(Taiwan),Country(Thailand),Country(Trinadad&amp;Tobago),Country(United-States),Country(Vietnam),Country(Yugoslavia),HoursPerWeek
25,0,0,1,0,0,0,0,0.144828,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40
38,0,0,1,0,0,0,0,0.0516984,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,50
28,0,1,0,0,0,0,0,0.219712,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40
44,0,0,1,0,0,0,0,0.0996332,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40
34,0,0,1,0,0,0,0,0.125719,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30
63,0,0,0,0,1,0,0,0.0617682,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32
24,0,0,1,0,0,0,0,0.241953,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40
55,0,0,1,0,0,0,0,0.0620197,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
65,0,0,1,0,0,0,0,0.116038,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40
36,1,0,0,0,0,0,0,0.135081,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40
